Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
63,JM Mendel,Uncertain rule-based fuzzy systems,4919,2017, Springer, Introduction and new directions,https://link.springer.com/content/pdf/10.1007/978-3-319-51370-6.pdf,547,10.1007/978-3-319-51370-6
79,"ME Yueksel, M Borlu",Accurate segmentation of dermoscopic images by image thresholding based on type-2 fuzzy logic,201,2009, ieeexplore.ieee.org, IEEE Transactions on Fuzzy Systems,https://ieeexplore.ieee.org/abstract/document/4804727/,12,10.1109/tfuzz.2009.2018300
48,"A Bárdossy, L Samaniego",Fuzzy rule-based classification of remotely sensed imagery,158,2002, ieeexplore.ieee.org, IEEE transactions on geoscience …,https://ieeexplore.ieee.org/abstract/document/992798/,7,10.1109/36.992798
46,"N Goel, P Sehgal",Fuzzy classification of pre-harvest tomatoes for ripeness estimation–An approach based on automatic rule learning using decision tree,141,2015, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494615004391,13,10.1016/j.asoc.2015.07.009
89,"K Iqbal, MO Odetayo, A James","Content-based image retrieval approach for biometric security using colour, texture and shape features controlled by fuzzy heuristics",130,2012, Elsevier, Journal of Computer and System Sciences,https://www.sciencedirect.com/science/article/pii/S002200001100119X,9,10.1016/j.jcss.2011.10.013
31,"CF Juang, SH Chiu, SJ Shiu",Fuzzy system learned through fuzzy clustering and support vector machine for human skin color segmentation,126,2007, ieeexplore.ieee.org, IEEE Transactions on Systems …,https://ieeexplore.ieee.org/abstract/document/4342800/,7,10.1109/tsmca.2007.904579
69,"S Ozekes, O Osman, ON Ucan",Nodule detection in a lung region that's segmented with using genetic cellular neural networks and 3D template matching with fuzzy rule based thresholding,104,2008, synapse.koreamed.org, Korean journal of radiology,https://synapse.koreamed.org/articles/1027815,6,10.3348/kjr.2008.9.1.1
24,"O Küçüktunç, U Güdükbay, Ö Ulusoy",Fuzzy color histogram-based video segmentation,101,2010, Elsevier, Computer Vision and Image …,https://www.sciencedirect.com/science/article/pii/S1077314209001581,6,10.1016/j.cviu.2009.09.008
82,"I Sebari, DC He",Automatic fuzzy object-based analysis of VHSR images for urban objects extraction,100,2013, Elsevier, ISPRS Journal of Photogrammetry and Remote …,https://www.sciencedirect.com/science/article/pii/S092427161300049X,8,10.1016/j.isprsjprs.2013.02.006
72,"F Zhao, Y Chen, Y Hou, X He",Segmentation of blood vessels using rule-based and machine-learning-based methods: a review,99,2019, Springer, Multimedia Systems,https://link.springer.com/article/10.1007/s00530-017-0580-7,14,10.1007/s00530-017-0580-7
77,"M Bouziani, K Goita, DC He",Rule-based classification of a very high resolution image in an urban environment using multispectral segmentation guided by cartographic data,94,2010, ieeexplore.ieee.org, IEEE Transactions on Geoscience …,https://ieeexplore.ieee.org/abstract/document/5451172/,6,10.1109/tgrs.2010.2044508
73,"P Puranik, P Bajaj, A Abraham…",Human perception-based color image segmentation using comprehensive learning particle swarm optimization,87,2009, ieeexplore.ieee.org, … on Emerging Trends …,https://ieeexplore.ieee.org/abstract/document/5395010/,5,10.1109/icetet.2009.116
65,"S Jabari, Y Zhang",Very high resolution satellite image classification using fuzzy rule-based systems,83,2013, mdpi.com, Algorithms,https://www.mdpi.com/1999-4893/6/4/762,6,10.3390/a6040762
71,"KS Tan, WH Lim, NAM Isa",Novel initialization scheme for Fuzzy C-Means algorithm on color image segmentation,69,2013, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494612005662,5,10.1016/j.asoc.2012.12.022
11,"MR Khokher, A Ghafoor, AM Siddiqui",Image segmentation using multilevel graph cuts and graph development using fuzzy rule‐based system,67,2013, Wiley Online Library, IET image processing,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2012.0082,5,10.1049/iet-ipr.2012.0082
37,"A Hamedianfar, HZM Shafri",Development of fuzzy rule-based parameters for urban object-oriented classification using very high resolution imagery,57,2014, Taylor & Francis, Geocarto International,https://www.tandfonline.com/doi/abs/10.1080/10106049.2012.760006,5,10.1080/10106049.2012.760006
88,"M Sibiya, M Sumbwanyambe",An algorithm for severity estimation of plant leaf diseases by the use of colour threshold image segmentation and fuzzy logic inference: a proposed algorithm …,56,2019, mdpi.com, AgriEngineering,https://www.mdpi.com/2624-7402/1/2/15,8,10.3390/agriengineering1020015
2,R Demirci,Rule-based automatic segmentation of color images,55,2006, Elsevier,International Journal of Electronics and …,https://www.sciencedirect.com/science/article/pii/S1434841105001391,3,10.1016/j.aeue.2005.09.002
18,"P Moallem, N Razmjooy, BS Mousavi",Robust potato color image segmentation using adaptive fuzzy inference system,52,2014, ijfs.usb.ac.ir, Iranian journal of fuzzy systems,http://ijfs.usb.ac.ir/article_1748_0.html,4,10.1109/icdipc.2019.8723780
78,"F Zhao, Y Chen, H Liu, J Fan",Alternate PSO-based adaptive interval type-2 intuitionistic fuzzy C-means clustering algorithm for color image segmentation,50,2019, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8715432/,7,10.1109/access.2019.2916894
87,"V Bombardier, E Schmitt",Fuzzy rule classifier: Capability for generalization in wood color recognition,47,2010, Elsevier, Engineering Applications of Artificial Intelligence,https://www.sciencedirect.com/science/article/pii/S0952197610001065,3,10.1016/j.engappai.2010.05.001
19,"P Moallem, BS Mousavi, SA Monadjemi",A novel fuzzy rule base system for pose independent faces detection,44,2011, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494610001250,3,10.1016/j.asoc.2010.05.024
100,CD Klose,Fuzzy rule-based expert system for short-range seismic prediction,41,2002, Elsevier, Computers & geosciences,https://www.sciencedirect.com/science/article/pii/S0098300401000541,2,10.1016/s0098-3004(01)00054-1
56,"J Clairet, A Bigand, O Colot",Color image segmentation using type-2 fuzzy sets,40,2006, ieeexplore.ieee.org, 2006 1ST IEEE International …,https://ieeexplore.ieee.org/abstract/document/4152767/,2,10.1109/icelie.2006.347211
84,"AA Othman, HR Tizhoosh…",EFIS—Evolving fuzzy image segmentation,40,2013, ieeexplore.ieee.org, … Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/6461091/,3,10.1109/tfuzz.2013.2246761
32,"B Somayeh Mousavi, F Soleymani…",Color image segmentation using neuro-fuzzy system in a novel optimized color space,37,2013, Springer, Neural Computing and …,https://link.springer.com/article/10.1007/s00521-012-1102-3,3,10.1007/s00521-012-1102-3
36,"P Purkait, NR Pal, B Chanda",A fuzzy-rule-based approach for single frame super resolution,36,2014, ieeexplore.ieee.org, IEEE Transactions on Image …,https://ieeexplore.ieee.org/abstract/document/6774881/,3,10.1109/fuzz-ieee.2013.6622394
6,"R Samet, ŞE Amrahov…",Fuzzy rule-based image segmentation technique for rock thin section images,34,2012, ieeexplore.ieee.org, 2012 3rd International …,https://ieeexplore.ieee.org/abstract/document/6469555/,2,10.1109/ipta.2012.6469555
66,"MV Sarode, SA Ladhake, PR Deshmukh",Fuzzy system for color image enhancement,34,2008, Citeseer, World Academy of Science …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=a0862ebe93ac5e1ae0f97f4364b8e912d41d7701,2,10.1109/tip.2006.877499
4,"A Borji, M Hamidi",Evolving a fuzzy rule-base for image segmentation,34,2007, academia.edu, International Journal of Intelligent Technology,https://www.academia.edu/download/93793896/download.pdf,2,10.1109/neurel.2004.1416578
44,"R Dadashi, HR Kanan",AVCD-FRA: A novel solution to automatic video cut detection using fuzzy-rule-based approach,34,2013, Elsevier, Computer Vision and Image Understanding,https://www.sciencedirect.com/science/article/pii/S1077314213000544,3,10.1016/j.cviu.2013.03.002
60,"J Niu, D Chen, J Li, H Wang",Fuzzy rule-based classification method for incremental rule learning,31,2021, ieeexplore.ieee.org, IEEE Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/9615022/,6,10.1109/tfuzz.2021.3128061
28,"B Prados-Suárez, J Chamorro-Martínez…",Region-based fit of color homogeneity measures for fuzzy image segmentation,29,2007, Elsevier, Fuzzy Sets and …,https://www.sciencedirect.com/science/article/pii/S0165011406004131,2,10.1016/j.fss.2006.10.006
22,"M Chen, SA Ludwig",Color Image Segmentation Using Fuzzy C‐Regression Model,26,2017, Wiley Online Library, Advances in Fuzzy Systems,https://onlinelibrary.wiley.com/doi/abs/10.1155/2017/4582948,3,10.1155/2017/4582948
64,"MS Iraji, A Tosinia",Skin color segmentation in YCBCR color space with adaptive fuzzy neural network (Anfis),25,2012, researchgate.net, International Journal of Image  Graphics and …,https://www.researchgate.net/profile/Ms-Iraji/publication/268293700_Skin_Color_Segmentation_in_YCBCR_Color_Space_with_Adaptive_Fuzzy_Neural_Network_Anfis/links/554c372e0cf29752ee7edb67/Skin-Color-Segmentation-in-YCBCR-Color-Space-with-Adaptive-Fuzzy-Neural-Network-Anfis.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail,2,10.5815/ijigsp.2012.04.05
93,"YA Syed, M Sarfraz",Color edge enhancement based fuzzy segmentation of license plates,24,2005, ieeexplore.ieee.org, Ninth International Conference on …,https://ieeexplore.ieee.org/abstract/document/1509083/,1,10.1109/iv.2005.33
91,"RI Minu, KK Thyagharajan",Semantic rule based image visual feature ontology creation,24,2014, Springer, International Journal of Automation and …,https://link.springer.com/article/10.1007/s11633-014-0832-3,2,10.1007/s11633-014-0832-3
5,"MR Khokher, A Ghafoor…",Image segmentation using fuzzy rule based system and graph cuts,24,2012, ieeexplore.ieee.org, 2012 12th International …,https://ieeexplore.ieee.org/abstract/document/6485319/,2,10.1109/icarcv.2012.6485319
61,"O Kucuktunc, D Zamalieva",Fuzzy color histogram-based CBIR system,24,2009, onurkucuktunc.github.io, … of 1st International Fuzzy …,http://onurkucuktunc.github.io/papers/proceedings/Kucuktunc-Fuzzyss09.pdf,1,10.21742/ijisse.2017.1.2.01
26,"MG Masoole, AS Moosavi",An improved fuzzy algorithm for image segmentation,24,2008, Citeseer, World Academy of Science  Engineering and …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d829c6f6e62c6919cb474f4970126014bc68dd50,1,10.1109/icvris51417.2020.00101
54,"A Lakdashti, MS Moin, K Badie",Reducing the Semantic Gap of the MRI Image Retrieval Systems Using a Fuzzy Rule Based Technique.,23,2009, academia.edu, International Journal of Fuzzy …,https://www.academia.edu/download/71845417/Reducing_the_Semantic_Gap_of_the_MRI_Ima20211008-4144-1ifzy4h.pdf,1,10.1109/hsi.2009.5090961
62,"M Neshat, G Sepidname, A Eizi…",A new skin color detection approach based on fuzzy expert system,22,2015, researchgate.net, Indian Journal of Science …,https://www.researchgate.net/profile/Mehdi-Neshat/publication/284738135_A_new_skin_color_detection_approach_based_on_fuzzy_expert_system/links/5759027a08aed88462068400/A-New-Skin-Color-Detection-Approach-based-on-Fuzzy-Expert-System,2,10.17485/ijst/2015/v8i21/50606
41,"OP Verma, V Jain, R Gumber",Simple fuzzy rule based edge detection,22,2013, koreascience.kr, Journal of Information Processing …,https://koreascience.kr/article/JAKO201301671902692.page,2,10.3745/jips.2013.9.4.575
